chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_017941.2,WP_004058553.1,HFX_RS00660,HFX_0137,417,134530,134946,-,protein_coding,hypothetical protein
NC_017941.2,WP_014732047.1,HFX_RS00665,HFX_0138,570,134943,135512,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058551.1,HFX_RS00670,HFX_0139,378,135652,136029,+,protein_coding,hypothetical protein
NC_017941.2,NA,HFX_RS00675,HFX_0140,74,136073,136146,+,tRNA,tRNA-Arg
NC_017941.2,WP_049917452.1,HFX_RS00685,HFX_0141,204,136839,137042,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058546.1,HFX_RS00690,HFX_0142,1653,137199,138851,-,protein_coding,thermosome subunit
NC_017941.2,WP_004058545.1,HFX_RS00695,HFX_0143,774,138983,139756,-,protein_coding,NAD(P)H-hydrate epimerase
NC_017941.2,WP_004058543.1,HFX_RS00700,HFX_0144,543,139838,140380,-,protein_coding,RNA-processing protein
NC_017941.2,WP_004058541.1,HFX_RS00705,HFX_0145,855,140464,141318,-,protein_coding,serine protein kinase RIO
NC_017941.2,WP_004058539.1,HFX_RS00710,HFX_0146,291,141494,141784,-,protein_coding,translation initiation factor eIF-1A
NC_017941.2,WP_004058535.1,HFX_RS00720,HFX_0147,987,142125,143111,-,protein_coding,tyrosine--tRNA ligase
NC_017941.2,WP_004058533.1,HFX_RS00725,HFX_0148,312,143202,143513,+,protein_coding,ATPase
NC_017941.2,WP_004058530.1,HFX_RS00730,HFX_0149,2064,143532,145595,-,protein_coding,DUF460 domain-containing protein
NC_017941.2,WP_004058528.1,HFX_RS00735,HFX_0150,999,145704,146702,+,protein_coding,"membrane protease subunit, stomatin/prohibitin"
NC_017941.2,WP_004058526.1,HFX_RS00740,HFX_0151,345,146702,147046,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058524.1,HFX_RS00745,HFX_0152,894,147056,147949,-,protein_coding,PhzF family phenazine biosynthesis protein
NC_017941.2,WP_004058521.1,HFX_RS00750,HFX_0153,936,147992,148927,-,protein_coding,ribonuclease Z
NC_017941.2,WP_004058518.1,HFX_RS00755,HFX_0154,1026,149075,150100,+,protein_coding,ATPase AAA
NC_017941.2,WP_004058516.1,HFX_RS00760,HFX_0155,606,150101,150706,+,protein_coding,phosphatidylserine decarboxylase family protein
NC_017941.2,WP_004058514.1,HFX_RS00765,HFX_0156,249,150921,151169,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058512.1,HFX_RS00770,HFX_0157,399,151481,151879,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058510.1,HFX_RS00775,HFX_0158,957,151907,152863,-,protein_coding,methyltransferase domain-containing protein
NC_017941.2,WP_004058508.1,HFX_RS00780,HFX_0159,312,152988,153299,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058506.1,HFX_RS00785,HFX_0160,570,153358,153927,+,protein_coding,TATA-box-binding protein
NC_017941.2,WP_004058504.1,HFX_RS00790,HFX_0161,381,154084,154464,+,protein_coding,hypothetical protein
NC_017941.2,WP_014732050.1,HFX_RS00795,HFX_0162,942,154552,155493,+,protein_coding,CPBP family intramembrane metalloprotease
NC_017941.2,WP_004058500.1,HFX_RS00800,HFX_0163,846,155544,156389,-,protein_coding,ATP phosphoribosyltransferase
NC_017941.2,WP_004058498.1,HFX_RS00805,HFX_0164,1074,156468,157541,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058496.1,HFX_RS00810,HFX_0165,513,157615,158127,-,protein_coding,transcriptional regulator
NC_017941.2,WP_004058495.1,HFX_RS00815,HFX_0166,348,158124,158471,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058494.1,HFX_RS00820,HFX_0167,1293,158631,159923,+,protein_coding,S-adenosylhomocysteine deaminase
NC_017941.2,WP_004058493.1,HFX_RS00825,HFX_0168,312,159946,160257,-,protein_coding,ArsR family transcriptional regulator
NC_017941.2,WP_004058491.1,HFX_RS00830,HFX_0169,1287,160358,161644,+,protein_coding,adenosylhomocysteinase
NC_017941.2,WP_004058489.1,HFX_RS00835,HFX_0170,426,161754,162179,+,protein_coding,nucleoid-structuring protein H-NS
NC_017941.2,WP_014732051.1,HFX_RS00840,HFX_0171,648,162216,162863,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058485.1,HFX_RS00845,HFX_0172,204,163083,163286,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058483.1,HFX_RS00850,HFX_0173,1098,163398,164495,-,protein_coding,DNA primase large subunit
NC_017941.2,WP_004058481.1,HFX_RS00855,HFX_0174,594,164624,165217,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058479.1,HFX_RS00860,HFX_0175,1701,165341,167041,+,protein_coding,PAS domain-containing protein
NC_017941.2,WP_004058477.1,HFX_RS00865,HFX_0176,744,167154,167897,-,protein_coding,DNA polymerase sliding clamp
NC_017941.2,WP_004058475.1,HFX_RS00870,HFX_0177,429,168259,168687,+,protein_coding,ArsC family transcriptional regulator
NC_017941.2,WP_004058473.1,HFX_RS00875,HFX_0178,774,168836,169609,+,protein_coding,23S rRNA methyltransferase
NC_017941.2,WP_004058469.1,HFX_RS00885,HFX_0180,1278,170028,171305,-,protein_coding,IS200/IS605 family transposon protein TnpB
NC_017941.2,WP_004058466.1,HFX_RS00890,HFX_0181,432,171302,171733,-,protein_coding,IS200/IS605 family transposase
NC_017941.2,WP_004058459.1,HFX_RS00900,HFX_0182,720,172379,173098,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058458.1,HFX_RS00905,HFX_0183,177,173091,173267,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058456.1,HFX_RS00910,HFX_0184,2154,173360,175513,-,protein_coding,preprotein translocase subunit TatC
NC_017941.2,WP_004058454.1,HFX_RS00915,HFX_0185,1113,175645,176757,+,protein_coding,preprotein translocase subunit TatC
NC_017941.2,WP_004058450.1,HFX_RS00925,HFX_0187,534,177256,177789,-,protein_coding,SRPBCC domain-containing protein
NC_017941.2,WP_004058448.1,HFX_RS00930,HFX_0188,636,177864,178499,+,protein_coding,histidine phosphatase family protein
NC_017941.2,WP_004058446.1,HFX_RS00935,HFX_0189,909,178609,179517,-,protein_coding,alpha hydrolase
NC_017941.2,WP_004058443.1,HFX_RS00940,HFX_0190,1992,179674,181665,+,protein_coding,DNA mismatch repair protein MutS
NC_017941.2,WP_004058441.1,HFX_RS00945,HFX_0191,555,181675,182229,-,protein_coding,N-acetyltransferase
NC_017941.2,WP_004058440.1,HFX_RS00950,HFX_0192,468,182274,182741,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058436.1,HFX_RS00960,HFX_0193,1125,183378,184502,+,protein_coding,ATPase AAA
NC_017941.2,WP_004058433.1,HFX_RS00965,HFX_0194,693,184573,185265,+,protein_coding,ribose-5-phosphate isomerase RpiA
NC_017941.2,WP_004058431.1,HFX_RS00970,HFX_0195,168,185361,185528,-,protein_coding,DUF1931 domain-containing protein
NC_017941.2,WP_014732056.1,HFX_RS00975,HFX_0196,756,185712,186467,+,protein_coding,cytochrome c
NC_017941.2,WP_081603716.1,HFX_RS19025,HFX_0197,846,186546,187391,-,protein_coding,hypothetical protein
NC_017941.2,WP_081603715.1,HFX_RS19030,HFX_0198,345,187388,187732,-,protein_coding,DUF4162 domain-containing protein
NC_017941.2,WP_004058424.1,HFX_RS00985,HFX_0199,264,187762,188025,+,protein_coding,GIY-YIG nuclease family protein
NC_017941.2,WP_004058423.1,HFX_RS00990,HFX_0200,1374,188061,189434,+,protein_coding,phosphoglucomutase
NC_017941.2,WP_004058421.1,HFX_RS00995,HFX_0201,405,189431,189835,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058419.1,HFX_RS01000,HFX_0202,414,189945,190358,-,protein_coding,N-acetyltransferase
NC_017941.2,WP_004058417.1,HFX_RS01005,HFX_0203,540,190470,191009,-,protein_coding,peroxiredoxin
NC_017941.2,WP_014732059.1,HFX_RS01010,HFX_0204,201,191057,191257,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058413.1,HFX_RS01015,HFX_0205,993,191381,192373,+,protein_coding,replication factor C small subunit
NC_017941.2,WP_004058411.1,HFX_RS01020,HFX_0206,2406,192458,194863,-,protein_coding,PAS domain S-box protein
NC_017941.2,WP_004058409.1,HFX_RS01025,HFX_0207,486,194984,195469,-,protein_coding,tryptophan-rich sensory protein
NC_017941.2,WP_004058408.1,HFX_RS01030,HFX_0208,2769,195592,198360,+,protein_coding,alanine--tRNA ligase
NC_017941.2,WP_004058406.1,HFX_RS01035,HFX_0209,774,198469,199242,+,protein_coding,3-oxoadipate enol-lactonase
NC_017941.2,WP_004058404.1,HFX_RS01040,HFX_0210,714,199435,200148,+,protein_coding,type 1 glutamine amidotransferase
NC_017941.2,WP_004058403.1,HFX_RS01045,HFX_0211,1164,200311,201474,+,protein_coding,glutaryl-CoA dehydrogenase
NC_017941.2,WP_004058401.1,HFX_RS01050,HFX_0212,291,201591,201881,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058399.1,HFX_RS01055,HFX_0213,717,202118,202834,+,protein_coding,PGF-CTERM sorting domain-containing protein
NC_017941.2,WP_004058397.1,HFX_RS01060,HFX_0214,1074,202970,204043,+,protein_coding,PGF-CTERM sorting domain-containing protein
NC_017941.2,WP_004058394.1,HFX_RS01065,HFX_0215,324,204131,204454,+,protein_coding,ferredoxin family protein
NC_017941.2,WP_004058392.1,HFX_RS01070,HFX_0216,375,204498,204872,+,protein_coding,lactoylglutathione lyase
NC_017941.2,WP_049917450.1,HFX_RS01075,HFX_0217,741,205128,205868,-,protein_coding,type IV pilin
NC_017941.2,WP_004058389.1,HFX_RS01080,HFX_0218,453,206034,206486,+,protein_coding,rubrerythrin
NC_017941.2,WP_004058388.1,HFX_RS01085,HFX_0219,2115,206695,208809,-,protein_coding,4Fe-4S dicluster domain-containing protein
NC_017941.2,WP_004058387.1,HFX_RS01090,HFX_0220,705,208979,209683,-,protein_coding,energy-coupling factor transporter transmembrane protein EcfT
NC_017941.2,WP_004058386.1,HFX_RS01095,HFX_0221,702,209677,210378,-,protein_coding,ABC transporter ATP-binding protein
NC_017941.2,WP_004058383.1,HFX_RS01100,HFX_0222,579,210379,210957,-,protein_coding,biotin transporter BioY
NC_017941.2,WP_004058381.1,HFX_RS01105,HFX_0223,606,211196,211801,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058379.1,HFX_RS01110,HFX_0224,5457,211907,217363,+,protein_coding,helix-turn-helix domain-containing protein
NC_017941.2,WP_004058377.1,HFX_RS01115,HFX_0225,303,217365,217667,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058375.1,HFX_RS01120,HFX_0226,339,217822,218160,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058373.1,HFX_RS01125,HFX_0227,948,218157,219104,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058371.1,HFX_RS01130,HFX_0229,888,219185,220072,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058369.1,HFX_RS01135,HFX_0230,663,220069,220731,+,protein_coding,chromosome partitioning protein ParA
NC_017941.2,WP_004058367.1,HFX_RS01140,HFX_0231,867,220815,221681,-,protein_coding,transcription initiation factor IIB family protein
NC_017941.2,WP_004058365.1,HFX_RS01145,HFX_0232,522,221844,222365,+,protein_coding,hypothetical protein
NC_017941.2,WP_004058363.1,HFX_RS01150,HFX_0233,744,222461,223204,-,protein_coding,cell division inhibitor
NC_017941.2,WP_004058361.1,HFX_RS01155,HFX_0234,420,223301,223720,-,protein_coding,HIT family protein
NC_017941.2,WP_004058358.1,HFX_RS01160,HFX_0235,624,224270,224893,-,protein_coding,uracil-DNA glycosylase
NC_017941.2,WP_049917449.1,HFX_RS01165,HFX_0236,231,224900,225130,-,protein_coding,hypothetical protein
NC_017941.2,WP_004058354.1,HFX_RS01170,HFX_0237,852,225209,226060,-,protein_coding,ribose-phosphate diphosphokinase
NC_017941.2,WP_004058353.1,HFX_RS01175,HFX_0238,822,226121,226942,-,protein_coding,hypothetical protein
NC_017941.2,WP_014732067.1,HFX_RS01180,HFX_0239,345,227038,227382,-,protein_coding,hypothetical protein
